gender,age,education_level,annual_income,credit_score,employment_years,debt_ratio,loan_amount,dependents,prior_default,property_owner,savings_ratio,loan_approved,fair_label
0,56,3,39873,628,34,0.18,50000,1,0,0,0.165,0,1
0,35,4,52636,690,12,0.24,100000,0,1,0,0.281,0,1
1,43,3,39578,715,20,0.2,250000,1,0,0,0.11,1,1
1,44,2,25085,694,21,0.22,150000,1,1,0,0.147,0,0
1,28,2,25350,617,6,0.32,200000,1,0,1,0.218,0,0
0,61,1,20000,601,39,0.28,250000,3,0,1,0.23,0,0
1,46,2,24280,703,22,0.32,150000,2,0,0,0.116,1,1
1,34,2,25963,715,10,0.14,250000,3,0,0,0.349,1,1
1,42,2,25785,653,20,0.25,100000,1,0,1,0.05,1,1
1,62,3,39274,550,38,0.32,300000,0,0,1,0.204,1,1
0,31,4,52686,636,9,0.36,50000,0,0,0,0.216,0,1
1,30,3,38081,744,7,0.14,200000,3,0,0,0.06,1,1
0,36,3,39968,649,12,0.23,200000,0,0,0,0.306,0,1
1,23,2,24476,660,1,0.32,100000,0,0,0,0.141,0,0
1,46,1,20000,700,24,0.24,150000,0,0,0,0.208,0,0
1,34,2,24715,663,12,0.19,100000,1,0,1,0.226,1,1
1,55,3,37242,766,31,0.14,50000,1,0,1,0.084,1,1
1,55,2,26414,659,31,0.18,150000,0,0,0,0.114,1,1
1,56,3,37935,642,33,0.13,300000,1,0,1,0.325,1,1
0,59,2,27915,745,35,0.25,150000,1,0,0,0.195,0,1
1,24,1,20000,672,0,0.31,150000,2,0,0,0.02,0,0
0,63,2,24837,620,39,0.16,50000,3,0,0,0.176,0,1
0,27,2,27323,705,4,0.27,100000,2,0,0,0.197,0,0
0,40,2,26953,663,17,0.31,150000,1,0,1,0.218,0,1
1,24,3,38345,626,1,0.25,300000,0,0,0,0.04,0,0
1,39,3,39423,695,15,0.14,250000,3,0,1,0.198,1,1
1,60,2,26028,671,38,0.28,150000,1,0,1,0.133,1,1
1,30,3,38432,597,6,0.25,150000,1,1,0,0.218,0,0
0,33,2,26758,621,10,0.24,150000,3,0,1,0.241,0,0
1,26,4,53559,802,2,0.21,200000,4,1,1,0.232,1,1
1,24,2,26390,684,0,0.26,200000,3,0,1,0.312,0,0
0,32,3,37239,764,10,0.29,200000,4,0,0,0.375,0,1
0,51,2,24138,696,29,0.42,50000,3,0,0,0.109,0,1
0,25,2,27193,748,1,0.26,300000,2,0,1,0.169,0,1
1,26,1,20000,700,3,0.36,50000,0,0,0,0.259,0,0
1,22,2,25584,627,0,0.28,150000,4,0,0,0.19,0,0
1,48,2,24303,713,24,0.24,250000,3,0,1,0.02,1,1
1,49,2,26162,627,25,0.26,150000,0,0,0,0.185,0,0
1,50,4,52390,751,27,0.16,50000,1,0,1,0.299,1,1
1,39,3,38274,701,16,0.27,100000,0,0,1,0.088,1,1
1,33,3,39026,691,10,0.11,150000,4,0,1,0.218,1,1
1,34,3,37006,665,11,0.19,50000,2,0,1,0.047,1,1
1,62,4,52778,743,39,0.26,150000,0,0,0,0.27,1,1
0,23,2,27660,671,0,0.33,100000,0,0,1,0.219,0,0
0,58,2,26226,574,35,0.35,200000,4,0,1,0.155,0,0
0,37,3,38168,595,13,0.23,50000,2,0,0,0.167,0,0
1,45,3,37415,620,21,0.26,200000,1,0,0,0.08,1,1
1,56,2,26713,723,32,0.32,150000,1,0,1,0.281,1,1
1,43,2,25144,727,21,0.16,150000,0,0,0,0.136,1,1
0,57,2,25147,697,34,0.28,100000,0,0,0,0.24,0,1
0,32,4,50149,717,9,0.19,150000,2,0,0,0.123,0,1
1,50,2,26444,759,26,0.24,200000,1,0,0,0.376,1,1
0,56,4,52428,718,34,0.22,50000,1,1,0,0.325,0,1
1,36,4,51803,735,13,0.28,250000,2,0,1,0.366,1,1
1,52,3,37838,689,28,0.29,250000,0,0,1,0.375,1,1
0,63,2,26048,654,41,0.31,50000,4,0,1,0.149,0,1
0,62,2,25696,664,38,0.27,150000,0,0,0,0.129,0,1
0,64,1,20000,782,42,0.26,150000,0,0,0,0.362,0,1
0,37,1,20000,610,13,0.38,50000,0,0,0,0.189,0,0
1,31,3,38421,707,8,0.14,150000,0,1,0,0.267,1,1
0,53,2,25274,596,29,0.37,300000,0,0,1,0.15,0,0
1,23,1,20000,636,0,0.23,150000,1,0,0,0.152,0,0
0,45,2,27647,722,23,0.29,300000,2,0,0,0.266,0,1
1,44,4,53370,600,22,0.23,200000,0,0,1,0.042,1,1
0,23,2,26807,729,0,0.2,50000,1,0,0,0.263,0,1
1,59,4,53001,812,35,0.28,50000,4,1,1,0.242,1,1
0,52,2,25320,700,30,0.32,200000,0,0,0,0.158,0,1
1,61,2,24976,749,38,0.28,150000,2,0,0,0.202,1,1
0,47,1,20000,683,24,0.21,100000,0,0,1,0.214,0,1
1,50,2,25138,719,28,0.5,150000,0,0,0,0.219,1,1
1,24,3,40878,714,2,0.33,200000,1,0,0,0.255,1,1
1,35,2,26048,651,11,0.32,200000,0,0,0,0.135,0,0
1,46,2,24552,647,23,0.23,100000,3,0,0,0.416,0,0
0,22,3,40756,754,0,0.21,100000,0,0,1,0.184,0,1
1,24,3,40671,687,1,0.23,300000,2,0,1,0.19,1,1
0,47,3,37481,682,23,0.33,250000,2,0,0,0.356,0,1
1,39,2,27681,671,17,0.18,100000,0,0,0,0.054,1,1
1,30,2,24599,696,7,0.18,250000,2,0,1,0.355,1,1
0,59,4,52810,634,37,0.29,100000,1,0,0,0.207,0,1
0,44,4,53581,689,20,0.27,100000,2,0,1,0.158,0,1
1,42,4,52382,717,18,0.2,100000,3,0,1,0.11,1,1
0,22,2,26512,609,0,0.17,50000,1,0,0,0.098,0,0
0,42,3,38164,701,18,0.35,250000,1,0,0,0.173,0,1
1,48,3,37582,640,26,0.27,150000,0,0,1,0.222,1,1
0,63,1,20000,687,41,0.15,100000,0,0,0,0.25,0,1
0,27,3,38003,808,4,0.16,250000,0,0,0,0.221,0,1
0,65,3,38982,683,42,0.22,200000,4,0,1,0.159,0,1
1,57,1,20000,610,35,0.3,50000,1,0,0,0.307,0,0
0,49,1,20000,683,27,0.29,200000,0,0,1,0.414,0,1
1,38,3,39997,716,15,0.33,200000,0,0,0,0.32,1,1
1,61,1,20000,618,39,0.15,200000,0,0,1,0.171,0,0
1,24,1,20000,575,0,0.27,200000,0,1,1,0.24,0,0
1,33,2,27414,628,9,0.35,100000,1,0,1,0.245,0,0
0,60,1,20000,667,36,0.34,100000,0,0,1,0.328,0,1
0,33,4,51792,674,10,0.28,250000,0,0,1,0.173,0,1
0,23,2,24909,739,1,0.41,250000,2,0,1,0.123,0,1
1,43,2,25759,708,20,0.29,100000,3,0,0,0.291,1,1
1,44,4,52034,705,21,0.32,50000,1,0,1,0.233,1,1
1,51,2,26927,584,29,0.25,250000,3,0,0,0.111,0,0
0,26,2,24841,714,3,0.2,150000,0,0,0,0.256,0,1
1,30,3,39112,798,6,0.19,100000,2,0,0,0.347,1,1
0,42,2,25604,727,20,0.26,150000,0,1,1,0.144,0,1
0,32,2,27138,643,8,0.24,150000,3,0,0,0.129,0,0
1,26,3,39480,682,2,0.13,150000,3,0,1,0.202,1,1
0,56,3,40121,715,34,0.18,150000,2,0,0,0.254,0,1
1,48,3,38337,766,24,0.23,50000,3,0,1,0.194,1,1
0,23,4,53380,661,0,0.3,300000,2,0,0,0.291,0,1
0,45,3,40674,664,21,0.25,300000,0,0,1,0.221,0,1
1,52,3,37114,687,30,0.24,300000,2,0,1,0.281,1,1
1,54,3,40957,682,32,0.18,250000,1,0,1,0.142,1,1
0,60,1,20000,713,38,0.25,200000,0,1,1,0.102,0,0
0,51,2,27413,694,28,0.34,100000,1,0,1,0.173,0,1
1,58,3,38553,613,34,0.26,50000,2,0,0,0.092,1,1
0,49,2,27855,643,26,0.14,50000,0,0,1,0.233,0,1
0,52,1,20000,635,29,0.16,100000,2,0,0,0.039,0,0
0,32,2,24494,558,8,0.29,150000,2,0,0,0.164,0,0
1,44,2,27340,731,22,0.23,300000,0,0,1,0.177,1,1
0,23,2,26988,687,0,0.24,150000,1,1,0,0.116,0,0
0,61,3,40151,660,39,0.21,150000,4,0,0,0.175,0,1
1,62,4,53527,749,40,0.29,200000,3,0,0,0.2,1,1
1,48,3,40370,706,24,0.23,100000,1,0,0,0.302,1,1
0,56,3,40015,619,33,0.24,300000,1,0,0,0.117,0,1
1,23,2,24821,713,0,0.19,150000,0,0,0,0.229,0,0
0,60,2,26249,755,38,0.31,100000,0,0,0,0.244,0,1
1,58,2,27574,672,34,0.23,300000,0,0,1,0.198,1,1
1,42,3,40808,686,19,0.29,200000,4,1,0,0.16,1,1
0,26,1,20000,675,4,0.17,150000,4,1,1,0.109,0,0
1,42,2,27787,613,20,0.37,150000,3,0,1,0.352,0,0
1,50,3,39696,697,28,0.34,200000,1,0,0,0.206,1,1
1,41,2,27556,630,17,0.12,100000,0,0,0,0.175,0,0
0,59,4,51608,699,35,0.19,250000,2,1,0,0.37,0,1
1,41,3,37559,699,19,0.28,300000,2,0,1,0.218,1,1
1,46,2,25041,709,24,0.16,150000,1,0,1,0.403,1,1
0,23,2,26525,711,0,0.24,200000,2,1,1,0.087,0,0
1,53,3,39535,638,31,0.28,250000,2,0,1,0.181,1,1
0,47,2,27030,690,25,0.24,150000,2,1,1,0.09,0,0
1,27,1,20000,722,3,0.29,300000,1,1,1,0.19,0,0
0,62,2,25469,616,40,0.2,200000,2,0,1,0.19,0,1
1,24,4,50339,795,2,0.09,150000,0,1,1,0.163,1,1
0,54,2,25554,626,32,0.32,200000,2,0,1,0.204,0,1
1,22,4,50611,789,0,0.32,150000,0,0,0,0.167,1,1
1,26,3,39163,637,2,0.43,50000,0,0,1,0.191,0,0
1,34,1,20000,666,10,0.1,200000,0,0,1,0.14,0,0
1,40,3,37073,679,17,0.3,150000,0,0,0,0.315,1,1
1,33,2,27863,604,10,0.11,200000,4,1,0,0.111,0,0
1,46,2,27340,718,23,0.37,100000,1,0,1,0.217,1,1
0,56,3,40708,731,33,0.28,150000,4,1,0,0.105,0,1
1,33,3,39163,724,9,0.18,200000,0,0,1,0.133,1,1
1,51,1,20000,656,29,0.3,300000,0,0,0,0.142,0,0
0,26,4,53764,661,2,0.21,250000,2,0,1,0.189,0,1
0,55,3,38761,750,32,0.27,250000,1,0,0,0.214,0,1
1,43,4,51692,711,19,0.26,100000,2,0,0,0.111,1,1
1,60,2,27235,638,38,0.37,250000,1,1,1,0.167,0,0
1,34,4,53654,711,11,0.38,100000,3,0,0,0.121,1,1
0,24,2,26034,587,2,0.21,100000,1,0,1,0.117,0,0
0,41,1,20000,675,19,0.32,50000,2,0,0,0.291,0,0
1,52,3,37125,726,30,0.27,250000,1,0,1,0.089,1,1
0,26,3,37656,680,3,0.15,50000,2,1,0,0.206,0,0
0,45,2,25199,719,21,0.2,100000,2,0,0,0.336,0,1
0,61,2,25996,724,38,0.41,100000,1,0,1,0.296,0,1
0,54,1,20000,685,31,0.28,150000,0,0,0,0.234,0,0
1,29,3,40765,787,5,0.32,250000,2,1,1,0.199,1,1
1,45,2,27446,754,21,0.24,150000,4,0,1,0.259,1,1
1,41,2,24990,714,17,0.21,150000,0,0,0,0.23,1,1
1,37,2,27065,699,13,0.25,100000,2,0,0,0.314,1,1
1,33,4,50858,685,11,0.23,100000,1,1,0,0.189,1,1
0,34,3,38521,654,11,0.15,100000,1,0,0,0.28,0,1
1,63,3,39132,733,40,0.18,150000,4,0,0,0.174,1,1
1,60,4,51899,689,37,0.3,150000,2,0,1,0.351,1,1
1,46,2,25406,624,22,0.22,100000,3,0,1,0.187,0,0
0,53,1,20000,625,30,0.25,250000,1,0,0,0.07,0,0
1,45,1,20000,633,23,0.27,300000,0,0,0,0.206,0,0
1,65,3,38486,786,42,0.27,100000,2,0,1,0.261,1,1
1,30,2,26498,726,7,0.33,50000,4,0,0,0.33,1,1
1,61,2,26565,681,39,0.17,200000,3,0,1,0.12,1,1
0,44,2,26893,702,22,0.29,100000,0,1,0,0.06,0,0
0,34,2,24694,709,11,0.3,150000,1,0,1,0.24,0,1
1,53,2,26597,632,29,0.32,150000,1,0,1,0.237,1,1
0,36,4,50928,635,12,0.15,250000,2,0,0,0.087,0,1
0,57,3,37115,747,34,0.27,200000,0,0,1,0.174,1,1
0,26,4,53685,625,3,0.37,50000,0,0,1,0.177,0,1
1,43,4,51031,699,20,0.24,50000,2,0,1,0.266,1,1
1,37,2,25241,640,14,0.28,100000,2,0,0,0.167,0,0
1,62,2,25742,692,38,0.3,100000,3,1,0,0.165,1,1
0,31,3,38613,676,8,0.18,150000,4,0,1,0.209,0,1
1,45,3,38903,719,23,0.38,250000,1,0,0,0.09,1,1
1,39,2,26451,552,15,0.28,100000,3,0,0,0.352,0,0
1,39,4,53638,761,15,0.29,150000,2,0,1,0.275,1,1
0,28,1,20000,710,6,0.13,100000,4,1,0,0.144,0,0
1,25,2,25490,735,2,0.31,50000,0,0,0,0.111,1,1
0,47,3,38975,739,24,0.29,300000,0,0,0,0.117,0,1
0,26,2,26787,697,3,0.36,100000,2,1,0,0.247,0,0
1,37,1,20000,634,14,0.23,100000,4,0,0,0.119,0,0
0,56,2,25033,704,33,0.18,100000,3,0,1,0.18,0,1
1,47,1,20000,685,25,0.2,150000,2,0,1,0.065,1,1
0,39,3,39481,738,16,0.21,300000,1,0,1,0.243,0,1
1,50,4,50801,734,28,0.17,50000,2,0,0,0.246,1,1
0,44,4,50163,705,22,0.34,150000,3,0,1,0.185,0,1
0,35,3,40310,713,13,0.34,50000,2,0,0,0.215,0,1
0,36,2,27388,708,13,0.24,200000,2,0,0,0.264,0,1
0,54,2,24995,739,31,0.22,200000,0,0,0,0.213,0,1
1,46,1,20000,765,22,0.12,200000,2,0,0,0.262,1,1
0,42,2,25358,712,18,0.3,150000,1,0,1,0.107,0,1
0,38,1,20000,698,16,0.37,250000,4,0,1,0.23,0,0
0,44,3,38094,677,20,0.21,150000,2,0,1,0.215,0,1
1,64,4,51198,681,42,0.24,150000,2,0,1,0.296,1,1
0,38,2,25877,640,14,0.28,200000,4,0,0,0.202,0,0
0,35,3,38823,514,12,0.37,150000,0,1,1,0.192,0,0
0,50,1,20000,623,27,0.26,100000,0,0,1,0.155,0,0
1,41,3,39386,680,19,0.26,100000,2,0,0,0.319,1,1
0,51,3,39295,673,29,0.26,50000,1,0,0,0.02,0,1
1,40,2,27264,705,17,0.15,150000,1,1,0,0.241,0,0
0,60,2,27490,635,37,0.15,150000,3,1,1,0.198,0,0
1,34,3,38348,648,11,0.19,50000,2,0,1,0.185,1,1
0,39,3,39353,573,15,0.32,200000,0,0,0,0.174,0,0
0,44,4,51803,725,20,0.23,250000,1,1,1,0.196,0,1
1,54,3,39251,641,30,0.21,100000,0,0,1,0.238,1,1
0,60,4,52900,660,36,0.21,100000,2,0,1,0.136,0,1
1,61,1,20000,701,39,0.24,250000,0,0,1,0.211,1,1
0,39,1,20000,621,17,0.37,200000,3,0,1,0.228,0,0
0,30,2,27922,700,6,0.24,50000,2,0,0,0.124,0,0
0,54,1,20000,603,32,0.19,150000,0,0,1,0.24,0,0
0,53,2,26760,678,29,0.25,200000,1,0,1,0.229,0,1
0,38,3,40562,656,14,0.37,150000,2,0,0,0.136,0,1
1,40,2,24432,665,17,0.21,150000,1,0,1,0.105,1,1
1,48,2,25647,763,24,0.17,150000,1,0,0,0.135,1,1
0,27,4,51151,609,5,0.21,200000,3,0,1,0.211,0,1
0,56,1,20000,748,32,0.26,100000,1,1,0,0.194,0,0
0,58,2,27817,629,35,0.3,200000,1,0,1,0.312,0,1
0,55,3,37821,737,33,0.32,300000,3,0,0,0.171,0,1
1,41,3,38070,748,18,0.18,150000,1,0,0,0.129,1,1
0,46,2,24504,703,22,0.18,200000,0,0,0,0.253,0,1
1,25,1,20000,602,1,0.23,100000,0,0,0,0.122,0,0
1,31,3,38439,704,7,0.3,100000,4,0,1,0.137,1,1
1,31,1,20000,810,7,0.16,300000,4,1,0,0.138,0,0
1,45,1,20000,670,23,0.21,50000,0,0,0,0.02,0,0
1,42,3,37222,684,18,0.21,100000,2,0,1,0.245,1,1
1,32,2,24635,669,9,0.32,150000,0,0,0,0.275,0,0
0,48,2,25972,708,26,0.29,150000,2,1,0,0.273,0,0
1,37,2,27574,675,15,0.31,200000,0,0,0,0.351,0,0
1,47,4,50671,715,25,0.34,100000,0,0,1,0.321,1,1
1,51,4,50957,683,28,0.23,50000,3,0,1,0.173,1,1
1,37,2,24932,623,14,0.17,150000,1,0,1,0.289,0,0
1,28,2,24095,807,5,0.17,150000,0,0,1,0.192,1,1
1,37,2,26154,674,14,0.12,150000,3,0,1,0.166,1,1
0,56,2,24631,850,32,0.22,150000,2,0,1,0.14,1,1
0,37,2,27684,703,13,0.22,150000,2,0,0,0.179,0,1
0,61,3,40686,722,38,0.31,100000,3,0,0,0.226,0,1
1,33,2,25701,662,10,0.25,200000,1,0,0,0.326,0,0
1,56,2,25949,647,32,0.22,50000,0,0,0,0.258,1,1
0,42,2,24697,664,18,0.24,100000,0,0,1,0.138,0,1
1,64,2,24031,634,41,0.18,200000,1,0,0,0.116,1,1
1,57,2,27564,629,35,0.32,100000,0,0,1,0.245,1,1
1,38,2,26113,778,16,0.19,150000,1,0,0,0.272,1,1
1,53,3,38202,733,30,0.17,100000,0,0,0,0.298,1,1
1,62,3,37778,772,40,0.31,150000,1,0,0,0.178,1,1
1,27,2,25466,741,3,0.29,150000,0,0,0,0.238,1,1
0,45,2,24915,646,23,0.13,300000,1,1,1,0.268,0,0
1,48,2,24548,595,25,0.31,150000,2,0,1,0.092,0,0
0,41,1,20000,644,19,0.2,200000,1,0,1,0.222,0,0
0,46,3,38893,695,24,0.22,250000,1,0,0,0.272,0,1
0,23,2,26096,742,1,0.26,200000,4,0,0,0.241,0,1
0,30,3,39834,686,6,0.29,150000,2,1,0,0.194,0,0
0,49,3,39998,850,25,0.28,150000,1,0,1,0.409,1,1
1,59,4,51703,676,35,0.25,150000,2,0,0,0.354,1,1
1,24,4,52310,732,1,0.22,200000,2,0,1,0.201,1,1
1,41,1,20000,637,19,0.28,50000,0,0,1,0.185,0,0
0,27,4,52030,722,3,0.24,250000,0,1,0,0.256,0,1
0,60,3,38833,683,36,0.38,150000,2,1,1,0.195,0,1
1,54,3,37343,676,32,0.29,250000,1,1,1,0.302,1,1
0,22,1,20000,635,0,0.19,50000,0,0,0,0.099,0,0
1,58,3,40462,698,36,0.22,250000,0,0,1,0.181,1,1
0,27,1,20000,715,4,0.25,100000,0,0,1,0.255,0,0
1,55,3,39248,636,33,0.34,200000,3,0,0,0.28,1,1
1,36,1,20000,667,12,0.35,150000,0,0,0,0.082,0,0
1,47,3,37925,717,23,0.22,200000,0,0,0,0.124,1,1
1,35,2,27880,717,11,0.18,200000,2,0,1,0.066,1,1
1,28,2,26050,782,5,0.18,100000,1,0,0,0.13,1,1
1,52,1,20000,701,30,0.27,150000,2,0,0,0.098,1,1
0,45,2,26855,657,22,0.41,100000,1,1,0,0.243,0,0
1,52,1,20000,638,28,0.29,150000,1,0,0,0.218,0,0
1,50,2,26003,648,27,0.14,200000,2,0,0,0.188,1,1
0,63,3,40615,655,40,0.2,50000,0,0,1,0.202,0,1
0,53,3,39607,701,30,0.21,150000,1,0,0,0.296,0,1
1,38,3,40398,713,16,0.19,150000,4,0,1,0.117,1,1
1,35,1,20000,715,12,0.22,100000,0,0,1,0.046,0,0
1,61,2,26246,716,38,0.28,300000,0,0,1,0.257,1,1
1,57,2,25939,748,34,0.3,150000,0,0,1,0.169,1,1
0,45,4,53672,663,21,0.33,100000,0,0,1,0.119,0,1
1,48,3,39156,780,24,0.29,50000,0,0,1,0.244,1,1
1,46,2,27362,645,24,0.11,150000,0,1,0,0.043,0,0
0,53,1,20000,689,29,0.18,150000,0,0,0,0.131,0,0
1,39,4,53479,689,17,0.24,100000,1,0,0,0.02,1,1
0,39,4,52599,698,15,0.26,50000,0,1,0,0.221,0,1
1,58,3,40020,726,36,0.31,150000,2,0,1,0.326,1,1
0,47,3,37051,610,25,0.25,150000,2,0,0,0.154,0,1
1,30,2,26159,634,8,0.25,100000,1,1,0,0.137,0,0
0,56,1,20000,711,32,0.27,150000,4,0,1,0.343,0,1
0,29,2,27651,679,6,0.23,300000,2,1,1,0.25,0,0
1,41,2,27260,665,17,0.26,300000,2,0,1,0.39,1,1
0,63,2,27915,618,40,0.33,250000,0,0,0,0.213,0,1
0,43,2,27792,666,19,0.24,200000,3,0,1,0.218,0,1
0,40,2,26112,717,17,0.25,100000,4,0,0,0.316,0,1
0,51,2,26621,649,27,0.25,100000,0,0,1,0.188,0,1
0,49,2,24464,755,27,0.34,150000,2,1,1,0.22,0,1
1,56,1,20000,729,34,0.17,150000,2,0,0,0.02,1,1
1,64,2,25669,660,42,0.37,250000,1,0,1,0.339,1,1
0,32,3,40051,657,9,0.17,100000,1,0,0,0.231,0,1
1,52,3,37633,537,29,0.2,150000,0,0,1,0.191,0,0
0,60,2,25354,620,38,0.3,200000,0,0,1,0.273,0,1
0,57,2,25524,617,34,0.32,150000,0,0,1,0.105,0,1
1,51,1,20000,591,29,0.15,150000,2,0,1,0.156,0,0
1,44,3,37209,688,20,0.17,100000,2,0,1,0.244,1,1
0,40,2,27879,697,17,0.27,300000,3,0,1,0.204,0,1
1,33,2,26136,779,10,0.41,150000,1,0,0,0.236,1,1
0,36,3,40750,693,12,0.34,150000,0,0,1,0.22,0,1
1,52,2,26075,568,29,0.23,100000,0,0,1,0.25,0,0
0,64,1,20000,628,41,0.08,150000,3,0,1,0.094,0,1
1,58,2,24335,713,35,0.26,100000,1,0,1,0.302,1,1
0,58,2,26110,675,34,0.28,100000,2,0,0,0.161,0,1
1,36,2,27838,727,14,0.22,100000,0,0,1,0.205,1,1
0,50,3,40979,661,28,0.19,50000,1,0,1,0.152,0,1
1,64,2,25576,743,40,0.26,150000,1,0,1,0.177,1,1
0,47,3,37499,703,23,0.18,150000,0,0,1,0.218,0,1
0,65,2,25564,694,41,0.38,250000,2,0,0,0.259,0,1
1,23,2,24790,688,1,0.36,50000,1,1,0,0.272,0,0
1,41,2,27540,637,17,0.3,50000,1,0,1,0.235,0,0
1,36,2,26639,676,14,0.26,250000,3,0,1,0.152,1,1
0,25,2,27122,696,1,0.2,100000,1,0,0,0.23,0,0
0,43,2,25135,602,20,0.25,50000,0,0,0,0.219,0,0
1,59,4,53944,704,37,0.36,100000,4,1,1,0.205,1,1
1,44,2,26348,746,22,0.31,250000,0,0,1,0.243,1,1
1,47,1,20000,693,23,0.26,200000,3,0,1,0.098,1,1
0,32,1,20000,745,9,0.31,150000,3,0,1,0.038,0,1
1,49,1,20000,692,27,0.29,200000,0,0,0,0.295,0,0
0,23,2,25778,630,0,0.28,150000,1,1,1,0.189,0,0
1,29,1,20000,713,6,0.32,250000,0,0,1,0.233,0,0
0,50,1,20000,607,28,0.29,50000,1,0,1,0.131,0,0
1,32,2,27528,668,8,0.31,200000,2,0,1,0.301,0,0
1,58,3,38624,674,35,0.26,100000,0,0,0,0.228,1,1
0,39,1,20000,632,17,0.23,150000,0,0,1,0.186,0,0
0,35,2,26574,810,13,0.21,100000,1,0,1,0.223,0,1
0,31,3,37332,686,8,0.2,200000,1,0,0,0.061,0,1
1,56,4,53433,799,32,0.14,200000,2,0,0,0.23,1,1
1,30,3,37173,708,6,0.19,150000,2,0,0,0.319,1,1
0,56,2,27673,634,33,0.18,200000,2,0,1,0.225,0,1
0,32,3,40284,667,10,0.21,200000,3,0,1,0.215,0,1
1,65,2,25366,677,42,0.36,200000,0,0,1,0.175,1,1
1,33,2,26108,661,10,0.24,100000,2,0,0,0.287,0,0
1,24,3,40947,674,1,0.27,150000,1,0,0,0.298,1,1
0,60,2,27803,711,38,0.27,100000,4,1,0,0.165,0,1
1,35,4,51084,720,12,0.36,150000,1,0,1,0.229,1,1
1,49,3,37818,727,26,0.21,200000,4,1,1,0.219,1,1
1,32,3,38701,773,10,0.23,200000,2,0,1,0.232,1,1
1,60,3,39571,664,38,0.24,200000,2,0,0,0.138,1,1
1,46,2,26263,741,23,0.33,100000,1,0,1,0.291,1,1
1,42,2,25612,756,18,0.34,200000,1,0,1,0.245,1,1
1,31,3,40815,761,8,0.28,150000,1,0,0,0.296,1,1
0,64,3,37623,593,42,0.34,300000,0,0,1,0.111,0,1
1,36,4,50577,798,14,0.26,150000,3,0,0,0.115,1,1
1,40,4,52741,664,18,0.24,150000,2,0,1,0.365,1,1
0,43,4,50422,598,19,0.33,200000,3,0,1,0.292,0,1
0,42,3,39763,787,20,0.28,250000,1,0,0,0.135,0,1
1,65,2,27494,708,41,0.2,150000,0,0,0,0.269,1,1
1,53,1,20000,700,31,0.32,150000,2,0,0,0.163,0,0
1,44,3,38229,671,22,0.24,150000,1,0,0,0.064,1,1
0,34,2,27357,690,11,0.23,100000,3,0,0,0.032,0,0
0,26,2,27176,672,2,0.31,200000,2,0,1,0.198,0,0
0,25,2,24753,645,2,0.24,300000,0,0,1,0.325,0,0
0,49,3,37746,691,25,0.28,100000,2,0,1,0.322,0,1
0,35,3,37687,696,13,0.3,150000,2,0,1,0.301,0,1
1,29,3,37722,617,7,0.2,250000,2,0,1,0.266,1,1
1,30,2,25566,683,6,0.28,50000,1,0,0,0.225,0,0
0,56,3,37746,591,33,0.34,150000,0,0,1,0.292,0,1
0,58,3,37241,795,34,0.18,250000,0,1,0,0.039,0,1
1,42,2,27562,674,18,0.28,250000,2,1,0,0.279,0,0
0,39,2,26712,621,15,0.19,150000,0,0,1,0.11,0,0
1,54,2,24707,708,32,0.32,50000,2,0,1,0.127,1,1
1,29,2,27569,638,5,0.32,50000,1,0,0,0.256,0,0
1,38,3,37434,688,16,0.23,150000,4,0,0,0.274,1,1
1,64,2,24780,705,41,0.4,100000,4,1,0,0.151,1,1
0,52,4,50483,644,30,0.33,100000,2,0,1,0.252,0,1
1,55,1,20000,777,32,0.3,200000,1,0,1,0.245,1,1
0,27,2,26431,792,4,0.3,200000,1,1,1,0.175,0,1
0,43,2,25533,651,20,0.32,250000,0,0,1,0.212,0,1
0,35,1,20000,608,13,0.18,50000,0,0,1,0.366,0,0
1,24,2,25020,650,0,0.26,100000,2,0,0,0.177,0,0
1,33,2,26997,653,11,0.28,250000,3,0,1,0.18,0,0
1,57,2,24868,741,34,0.22,200000,0,0,0,0.212,1,1
0,33,2,26370,651,9,0.28,200000,1,1,0,0.185,0,0
0,23,3,37847,626,1,0.34,300000,2,1,1,0.263,0,0
1,23,2,25497,685,0,0.22,250000,3,0,1,0.318,0,0
0,36,1,20000,588,13,0.25,150000,0,0,1,0.18,0,0
1,44,3,37695,748,20,0.19,100000,0,0,1,0.131,1,1
0,50,1,20000,702,28,0.12,150000,3,0,1,0.358,0,1
1,38,3,40346,657,14,0.3,200000,0,0,0,0.21,1,1
0,53,4,53982,673,29,0.25,100000,2,0,1,0.064,0,1
1,28,2,24031,693,4,0.25,200000,2,1,1,0.349,0,0
0,51,4,50176,639,27,0.18,50000,1,1,1,0.29,0,1
0,49,3,39964,646,27,0.24,200000,1,0,1,0.328,0,1
0,35,4,52112,687,11,0.33,50000,3,0,1,0.315,0,1
1,65,3,40781,617,42,0.25,150000,0,0,1,0.412,1,1
1,51,2,26074,655,28,0.25,250000,0,0,0,0.117,1,1
1,38,4,53734,640,15,0.26,50000,1,0,0,0.136,1,1
1,53,1,20000,748,29,0.16,150000,1,0,0,0.161,1,1
1,27,2,25502,657,4,0.29,100000,2,0,0,0.158,0,0
0,45,2,26315,627,23,0.16,250000,4,0,1,0.21,0,1
0,27,2,26644,717,3,0.18,250000,3,1,1,0.161,0,0
1,48,2,27059,645,24,0.18,300000,0,1,0,0.105,0,0
